"League","Away Team","S","EX","EN","F","I","R","Score","Results","Home Team","S","EX","EN","F","I","R","Score","Results"
"MLB","Tigers","33.0","25.0","51.0","34.0","52.0","31.0","2.0","L","White Sox","33.0","33.0","49.0","36.0","53.0","33.0","8.0","W"
"NHL","Predators","34.0","22.0","51.0","39.0","52.0","30.0","5.0","W","Ducks","40.0","27.0","50.0","35.0","53.0","39.0","3.0","L"
"NBA","Cavaliers","38.0","26.0","47.0","38.0","53.0","40.0","130.0","W","Wizards","39.0","31.0","58.0","42.0","54.0","38.0","122.0","L"
"NBA","Bucks","39.0","32.0","54.0","38.0","55.0","39.0","96.0","L","Pistons","36.0","27.0","59.0","47.0","54.0","38.0","105.0","W"
"NBA","Pacers","37.0","30.0","57.0","40.0","54.0","34.0","110.0","L","76ers","42.0","31.0","63.0","46.0","55.0","43.0","121.0","W"
"NBA","Suns","39.0","32.0","61.0","41.0","55.0","37.0","107.0","L","Knicks","41.0","30.0","54.0","36.0","55.0","43.0","120.0","W"
"NBA","Rockets","34.0","31.0","50.0","37.0","51.0","31.0","119.0","W","Hawks","32.0","22.0","47.0","32.0","51.0","31.0","104.0","L"
"NBA","Pelicans","30.0","34.0","49.0","38.0","51.0","28.0","99.0","W","Mavericks","45.0","56.0","62.0","47.0","55.0","48.0","94.0","L"
"NBA","Hornets","34.0","42.0","52.0","35.0","52.0","34.0","101.0","L","Spurs","35.0","18.0","61.0","37.0","53.0","37.0","108.0","W"
"NBA","Heat","29.0","67.0","50.0","27.0","51.0","25.0","94.0","L","Nuggets","34.0","40.0","50.0","37.0","52.0","30.0","95.0","W"
"NBA","Raptors","37.0","72.0","37.0","37.0","53.0","29.0","109.0","W","Jazz","44.0","62.0","48.0","44.0","54.0","49.0","100.0","L"
"NHL","Sabres","37.0","25.0","52.0","40.0","52.0","32.0","4.0","L","Penguins","42.0","26.0","53.0","37.0","53.0","38.0","5.0","W"
"NHL","Blue Jackets","35.0","27.0","50.0","37.0","52.0","34.0","2.0","W","Canadiens","29.0","31.0","53.0","37.0","52.0","31.0","1.0","L"
"NHL","Stars","33.0","28.0","45.0","36.0","52.0","31.0","3.0","L","Panthers","32.0","29.0","49.0","34.0","53.0","34.0","4.0","W"
"NHL","Flyers","32.0","29.0","54.0","40.0","53.0","35.0","0.0","L","Wild","35.0","34.0","58.0","39.0","54.0","38.0","3.0","W"
"NHL","Coyotes","31.0","27.0","43.0","27.0","53.0","33.0","1.0","L","Jets","32.0","30.0","53.0","37.0","52.0","34.0","4.0","W"
"NHL","Oilers","36.0","30.0","52.0","36.0","52.0","30.0","2.0","L","Rangers","38.0","23.0","49.0","38.0","51.0","33.0","4.0","W"
"NHL","Avalanche","39.0","37.0","46.0","34.0","55.0","38.0","3.0","L","Senators","34.0","21.0","53.0","39.0","50.0","33.0","4.0","W"
"NHL","Maple Leafs","34.0","27.0","46.0","36.0","51.0","30.0","4.0","W","Bruins","37.0","20.0","47.0","36.0","52.0","34.0","1.0","L"
"NHL","Wild","31.0","21.0","44.0","31.0","52.0","30.0","1.0","W","Flyers","35.0","23.0","55.0","36.0","53.0","38.0","0.0","L"
"NHL","Sabres","30.0","25.0","43.0","32.0","52.0","29.0","1.0","L","Canadiens","31.0","22.0","54.0","35.0","52.0","29.0","2.0","W"
"NHL","Panthers","32.0","29.0","45.0","34.0","51.0","30.0","1.0","L","Devils","33.0","24.0","44.0","35.0","52.0","32.0","2.0","W"
"NHL","Blue Jackets","34.0","23.0","50.0","41.0","52.0","33.0","2.0","W","Red Wings","32.0","23.0","50.0","38.0","52.0","33.0","1.0","L"
"NHL","Blackhawks","33.0","25.0","48.0","35.0","52.0","31.0","4.0","W","Hurricanes","31.0","23.0","50.0","40.0","52.0","29.0","3.0","L"
"NHL","Islanders","31.0","26.0","50.0","35.0","52.0","29.0","5.0","W","Blues","37.0","30.0","57.0","45.0","53.0","39.0","2.0","L"
"NHL","Canucks","35.0","25.0","54.0","46.0","53.0","34.0","0.0","L","Sharks","39.0","26.0","57.0","49.0","53.0","43.0","5.0","W"
"NHL","Golden Knights","35.0","27.0","47.0","36.0","51.0","30.0","3.0","W","Jets","33.0","22.0","45.0","36.0","52.0","33.0","2.0","L"
"NHL","Kings","31.0","26.0","42.0","34.0","52.0","29.0","0.0","L","Predators","35.0","28.0","49.0","38.0","53.0","34.0","5.0","W"
"NHL","Avalanche","35.0","26.0","37.0","32.0","53.0","36.0","4.0","W","Oilers","38.0","29.0","45.0","34.0","53.0","35.0","3.0","L"
"NHL","Stars","30.0","37.0","36.0","36.0","52.0","24.0","4.0","W","Coyotes","33.0","55.0","37.0","31.0","53.0","30.0","1.0","L"
"NHL","Blackhawks","31.0","40.0","42.0","34.0","53.0","27.0","2.0","L","Canucks","28.0","32.0","41.0","35.0","53.0","24.0","4.0","W"
"NHL","Blues","36.0","49.0","51.0","38.0","51.0","34.0","1.0","L","Bruins","34.0","15.0","48.0","37.0","51.0","32.0","3.0","W"
"NHL","Flyers","30.0","14.0","55.0","37.0","49.0","40.0","3.0","L","Devils","37.0","17.0","57.0","39.0","50.0","40.0","4.0","W"
"NHL","Maple Leafs","35.0","19.0","48.0","38.0","50.0","39.0","4.0","W","Rangers","37.0","23.0","48.0","35.0","50.0","40.0","0.0","L"
"NHL","Canadiens","39.0","28.0","48.0","38.0","51.0","40.0","0.0","L","Hurricanes","33.0","36.0","47.0","35.0","51.0","34.0","2.0","W"
"NHL","Ducks","38.0","27.0","46.0","35.0","51.0","40.0","1.0","L","Senators","38.0","31.0","45.0","36.0","51.0","38.0","2.0","W"
"NHL","Canucks","32.0","24.0","45.0","37.0","51.0","29.0","3.0","L","Bruins","30.0","29.0","46.0","36.0","51.0","28.0","6.0","W"
"NHL","Predators","33.0","28.0","44.0","34.0","52.0","31.0","1.0","W","Flyers","46.0","25.0","53.0","39.0","54.0","47.0","0.0","L"
"NHL","Islanders","35.0","25.0","56.0","43.0","53.0","37.0","4.0","W","Rangers","40.0","28.0","63.0","44.0","53.0","42.0","3.0","L"
"NHL","Lightning","41.0","25.0","59.0","46.0","53.0","42.0","2.0","W","Blue Jackets","41.0","27.0","67.0","51.0","54.0","44.0","0.0","L"
"NHL","Devils","44.0","24.0","58.0","41.0","53.0","46.0","5.0","W","Senators","29.0","28.0","56.0","34.0","51.0","32.0","4.0","L"
"NBA","Cavaliers","33.0","23.0","45.0","38.0","50.0","28.0","107.0","L","Nets","33.0","24.0","45.0","39.0","51.0","31.0","112.0","W"
"NBA","Spurs","31.0","25.0","42.0","39.0","51.0","27.0","117.0","W","Heat","32.0","32.0","55.0","39.0","52.0","29.0","100.0","L"
"NBA","Grizzlies","34.0","25.0","46.0","38.0","53.0","35.0","94.0","L","Mavericks","37.0","24.0","51.0","39.0","53.0","39.0","103.0","W"
"NBA","Raptors","32.0","26.0","55.0","45.0","52.0","28.0","112.0","L","Warriors","32.0","29.0","52.0","39.0","52.0","32.0","117.0","W"
"NBA","Wizards","33.0","26.0","46.0","33.0","52.0","31.0","99.0","L","Lakers","34.0","28.0","47.0","34.0","53.0","35.0","102.0","W"
